"gis_name"	"iso3"	"ref"	"geometry"
"Syrian Arab Republic"	"SYR"	6848845	c(38.5159901408451, 35.4420126760563)
"Afghanistan"	"AFG"	2712858	c(67.5873550898203, 34.8774191616766)
"Albania"	"ALB"	19847	c(19.9969789473684, 41.0511131578947)
"Algeria"	"DZA"	6003	c(2.604071875, 30.4425135416667)
"Angola"	"AGO"	11403	c(15.5381673553719, -9.75126322314049)
"Egypt"	"EGY"	27498	c(32.5744350877193, 29.4662940350877)
"Armenia"	"ARM"	12255	c(45.0799975, 40.151315)
"Azerbaijan"	"AZE"	39478	c(48.0816908450704, 40.0513549295775)
"Burundi"	"BDI"	323635	c(29.868456, -3.351284)
"Bangladesh"	"BGD"	22672	c(90.4343578902228, 23.0954747855918)
"Bhutan"	"BTN"	6702	c(90.56082, 27.3601733333333)
"Burkina Faso"	"BFA"	20209	c(-1.80531294117647, 12.1782164705882)
"Belarus"	"BLR"	4632	c(27.9164706349206, 53.4865793650794)
"Brazil"	"BRA"	1954	c(-47.7472760931289, -8.67350687109599)
"Bosnia and Herzegovina"	"BIH"	18189	c(17.7124956521739, 44.0730913043478)
"Cambodia"	"KHM"	12072	c(103.943850387597, 11.1595437984496)
"Central African Republic"	"CAF"	737658	c(20.7628102739726, 6.34493698630137)
"Chad"	"TCD"	11771	c(17.5925919708029, 13.4355197080292)
"China"	"CHN"	170200	c(115.51412064768, 29.8318076251722)
"Cameroon"	"CMR"	125475	c(12.905803649635, 6.54544598540146)
"Republic of the Congo"	"COG"	14253	c(14.9808359375, -0.740047656250001)
"Democratic Republic of the Congo"	"COD"	908401	c(21.9513449685535, -4.06186100628931)
"Comoros"	"COM"	1670	c(43.7065869565217, -12.207152173913)
"Colombia"	"COL"	115793	c(-75.6464130824372, 4.94764641577061)
"Cuba"	"CUB"	11534	c(-79.919132501418, 22.0442645490641)
"Djibouti"	"DJI"	2607	c(42.8695942857143, 11.75768)
"Ecuador"	"ECU"	1825	c(-82.6264458333334, -1.47545034722222)
"Eritrea"	"ERI"	511911	c(40.6270367041199, 15.0541990636704)
"Ethiopia"	"ETH"	149125	c(39.2763850340136, 8.84697619047619)
"Gambia"	"GMB"	11042	c(-16.29425, 13.3299875)
"State of Palestine"	"PSE"	103581	c(35.1597275, 31.86256)
"Georgia"	"GEO"	9754	c(43.408984057971, 42.2177971014493)
"Ghana"	"GHA"	14251	c(-1.15129466666667, 7.66910533333334)
"Guinea-Bissau"	"GNB"	2039	c(-15.6890533980582, 11.5390961165049)
"Guatemala"	"GTM"	26927	c(-90.3017714285714, 15.4487918367347)
"Guinea"	"GIN"	34403	c(-13.1970313807531, 10.4256882845188)
"Haiti"	"HTI"	29454	c(-73.1435192307692, 18.6735276923077)
"Honduras"	"HND"	51687	c(-87.1243793991416, 13.9769626609442)
"Croatia"	"HRV"	18083	c(15.6956074626866, 44.0735869936034)
"Hungary"	"HUN"	4653	c(19.5806764705882, 47.2272823529412)
"Côte d'Ivoire"	"CIV"	39940	c(-5.56751818181818, 7.36270227272727)
"India"	"IND"	14230	c(80.0011881671702, 18.8366419939578)
"Indonesia"	"IDN"	13962	c(120.855609638783, -2.63393093155893)
"Islamic Republic of Iran"	"IRN"	142989	c(51.7390042116631, 30.4293929805615)
"Iraq"	"IRQ"	343897	c(44.546538, 33.427309)
"Jamaica"	"JAM"	2419	c(-77.14, 18.0378958333333)
"Jordan"	"JOR"	2981	c(36.7242906976744, 31.374076744186)
"Kazakhstan"	"KAZ"	3198	c(62.3225106128551, 47.5385744394618)
"Kenya"	"KEN"	7529	c(39.3812, -1.31253935185185)
"Kyrgyzstan"	"KGZ"	3035	c(73.8906729323308, 41.1601609022557)
"Kuwait"	"KWT"	1702	c(47.9032, 29.592478)
"Lao People's Democratic Republic"	"LAO"	6778	c(103.845069672131, 18.3432221311475)
"Liberia"	"LBR"	5384	c(-9.37740384615385, 6.40103076923077)
"Libya"	"LBY"	19090	c(16.4704737931035, 29.4313227586207)
"Lebanon"	"LBN"	6061	c(35.78662, 33.832345)
"Sri Lanka"	"LKA"	151107	c(80.1814693132105, 9.43434225721786)
"Mauritania"	"MRT"	39279	c(-11.787295631068, 19.978459223301)
"North Macedonia"	"MKD"	1842	c(21.7224793103448, 41.6024137931034)
"Republic of Moldova"	"MDA"	2190	c(28.3922791666667, 47.0981729166667)
"Mexico"	"MEX"	16403	c(-103.227574007039, 24.2251305681247)
"Mali"	"MLI"	183392	c(-4.42625276381909, 16.2622326633166)
"Malaysia"	"MYS"	1182	c(112.821493767977, 4.77679146692234)
"Mongolia"	"MNG"	2508	c(103.872284364821, 47.4531459283388)
"Morocco"	"MAR"	5385	c(-6.97815441176471, 31.4943154411765)
"Myanmar"	"MMR"	1177029	c(96.2338372541604, 16.058025075643)
"Nepal"	"NPL"	7029	c(84.13417375, 28.2297025)
"Niger"	"NER"	21901	c(8.5234421686747, 16.3533475903614)
"Nicaragua"	"NIC"	11041	c(-84.2313857142857, 13.3298011904762)
"Nigeria"	"NGA"	383660	c(8.13040860215054, 8.51365698924731)
"Pakistan"	"PAK"	132817	c(67.5351536437247, 26.9843801619433)
"Peru"	"PER"	3520	c(-75.5005494117648, -9.08447970588235)
"Romania"	"ROU"	1417	c(25.5225887931034, 45.7072448275862)
"Russian Federation"	"RUS"	68547	c(84.9515767863426, 68.5336372844068)
"Rwanda"	"RWA"	248219	c(29.943592, -2.002684)
"El Salvador"	"SLV"	52041	c(-88.0994460674157, 13.4252595505618)
"Saudi Arabia"	"SAU"	2167	c(40.257449783924, 23.315706741573)
"Senegal"	"SEN"	15129	c(-14.8927685393258, 14.0946)
"Sierra Leone"	"SLE"	6615	c(-12.8388674496644, 8.36761845637584)
"Somalia"	"SOM"	776678	c(45.2352265306122, 5.54616071428571)
"Serbia and Kosovo: S/RES/1244 (1999)"	"SRB"	31735	c(20.6422573529412, 43.9827308823529)
"Viet Nam"	"VNM"	317737	c(106.934083945687, 19.1710677316294)
"South Sudan"	"SSD"	2362759	c(30.4739443661972, 7.65520211267606)
"Sudan"	"SDN"	825290	c(32.8453756302521, 15.0930277310924)
"Slovakia"	"SVK"	1426	c(19.6900781818182, 48.7342272727273)
"Tajikistan"	"TJK"	2412	c(70.9511358974359, 38.6899376068376)
"Togo"	"TGO"	7985	c(0.897978, 8.69398)
"Tunisia"	"TUN"	2201	c(10.1971938931298, 34.6670496183206)
"Türkiye"	"TUR"	105019	c(31.4050037037037, 38.5659034979424)
"Uganda"	"UGA"	7886	c(32.3068571428572, 1.5658253968254)
"Ukraine"	"UKR"	27562	c(31.5692071917808, 48.057723630137)
"Uzbekistan"	"UZB"	3014	c(65.8520521739131, 40.9148820652174)
"Bolivarian Republic of Venezuela"	"VEN"	199202	c(-64.3322532484077, 9.25165057324841)
"Western Sahara"	"ESH"	117041	c(-13.2554566371681, 24.6314026548673)
"Yemen"	"YEM"	37611	c(44.7889508960574, 15.0626709677419)
"Zimbabwe"	"ZWE"	8115	c(29.5493340659341, -18.9556835164835)
