country_name,iso_code,measles_vaccine_policy
Afghanistan,AFG,not required
Albania,ALB,required
Algeria,DZA,not required
Andorra,AND,required
Angola,AGO,not required
Antigua and Barbuda,ATG,not required
Argentina,ARG,required
Armenia,ARM,not required
Australia,AUS,required
Austria,AUT,not required
Azerbaijan,AZE,not required
Bahamas,BHS,not required
Bahrain,BHR,required
Bangladesh,BGD,not required
Barbados,BRB,not required
Belarus,BLR,not required
Belgium,BEL,not required
Belize,BLZ,not required
Benin,BEN,required
Bhutan,BTN,required
Bolivia (Plurinational State of),BOL,not required
Bosnia and Herzegovina,BIH,required
Botswana,BWA,required
Brazil,BRA,required
Brunei Darussalam,BRN,required
Bulgaria,BGR,required
Burkina Faso,BFA,required
Burundi,BDI,not required
Cabo Verde (Cape Verde),CPV,not required
Cambodia,KHM,not required
Cameroon,CMR,not required
Canada,CAN,not required
Central African Republic (CAR),CAF,not required
Chad,TCD,not required
Chile,CHL,required
China (People's Republic of China; PRC),CHN,not required
Chinese Taipei (Taiwan; Republic of China),TWN,required
Colombia,COL,required
Comoros,COM,required
Cook Islands,COK,not required
Costa Rica,CRI,required
Cote d'Ivoire (Ivory Coast),CIV,not required
Croatia,HRV,required
Cuba,CUB,not required
Curacao,CUW,not required
Cyprus,CYP,not required
Czechia (Czech Republic),CZE,required
Democratic People's Republic of Korea (DPRK),PRK,no data
Democratic Republic of Congo (DRC),COD,required
Denmark,DNK,not required
Djibouti,DJI,not required
Dominica,DMA,not required
Dominican Republic,DOM,required
Ecuador,ECU,required
Egypt,EGY,required
El Salvador,SLV,required
Equatorial Guinea,GNQ,not required
Eritrea,ERI,not required
Estonia,EST,not required
Eswatini (Swaziland),SWZ,not required
Ethiopia,ETH,not required
Fiji,FJI,not required
Finland,FIN,not required
France,FRA,required
Gabon,GAB,not required
Gambia (Republic of The),GMB,not required
Georgia,GEO,not required
Germany,DEU,required
Ghana,GHA,not required
Greece,GRC,not required
Greenland,GRL,no data
Grenada,GRD,not required
Guatemala,GTM,not required
Guinea,GIN,required
Guinea Bissau,GNB,not required
Guyana,GUY,not required
Haiti,HTI,not required
Holy See (Vatican City),VAT,not required
Honduras,HND,required
Hungary,HUN,required
Iceland,ISL,not required
India,IND,not required
Indonesia,IDN,required
Iran (Islamic Republic of),IRN,not required
Iraq,IRQ,required
Ireland,IRL,not required
Israel,ISR,not required
Italy,ITA,required
Jamaica,JAM,required
Japan,JPN,not required
Jordan,JOR,required
Kazakhstan,KAZ,required
Kenya,KEN,not required
Kuwait,KWT,required
Kyrgyzstan,KGZ,required
Lao People's Democratic Republic (Laos; Lao PDR),LAO,required
Latvia,LVA,required
Lebanon,LBN,not required
Lesotho,LSO,not required
Liberia,LBR,required
Libya,LBY,required
Liechtenstein,LIE,not required
Lithuania,LTU,not required
Luxembourg,LUX,not required
Madagascar,MDG,not required
Malawi,MWI,not required
Malaysia,MYS,not required
Maldives,MDV,not required
Mali,MLI,required
Malta,MLT,not required
Marshall Islands,MHL,not required
Mauritania,MRT,not required
Mauritius,MUS,not required
Mexico,MEX,required
Micronesia (Federated States of Micronesia),FSM,required
Monaco,MCO,not required
Mongolia,MNG,required
Montenegro,MNE,required
Morocco,MAR,not required
Mozambique,MOZ,not required
Myanmar (Burma),MMR,not required
Namibia,NAM,not required
Nauru,NRU,not required
Nepal,NPL,not required
Netherlands,NLD,not required
New Zealand,NZL,not required
Nicaragua,NIC,required
Niger,NER,not required
Nigeria,NGA,not required
Niue,NIU,not required
North Macedonia (Macedonia; FYROM),MKD,required
Norway,NOR,not required
Oman,OMN,required
Pakistan,PAK,not required
Palau,PLW,not required
Panama,PAN,required
Papua New Guinea,PNG,not required
Paraguay,PRY,required
Peru,PER,required
Philippines,PHL,required
Poland,POL,required
Portugal,PRT,not required
Qatar,QAT,required
Republic of Korea (South Korea),KOR,required
Republic of Moldova,MDA,required
Republic of the Congo,COG,not required
Republic of Kiribati,KIR,no data
Romania,ROU,required
Russian Federation,RUS,required
Rwanda,RWA,not required
Saint Kitts and Nevis (St Kitts and Nevis),KNA,required
Saint Lucia (St Lucia),LCA,not required
Saint Vincent and the Grenadines (St Vincent and the Grenadines),VCT,required
Samoa,WSM,required
San Marino,SMR,required
São Tomé and Príncipe,STP,not required
Saudi Arabia,SAU,required
Senegal,SEN,not required
Serbia,SRB,required
Seychelles,SYC,not required
Sierra Leone,SLE,not required
Singapore,SGP,required
Slovakia,SVK,required
Slovenia,SVN,required
Solomon Islands,SLB,not required
Somalia,SOM,not required
South Africa,ZAF,not required
South Sudan,SSD,not required
Spain,ESP,not required
Sri Lanka,LKA,not required
Sudan,SDN,required
Suriname,SUR,not required
Sweden,SWE,not required
Switzerland,CHE,not required
Syrian Arab Republic (Syria),SYR,not required
Tajikistan,TJK,required
Thailand,THA,not required
Timor-Leste,TLS,not required
Togo,TGO,not required
Tonga,TON,no data
Trinidad and Tobago,TTO,required
Tunisia,TUN,required
Turkey,TUR,not required
Turkmenistan,TKM,required
Tuvalu,TUV,not required
Uganda,UGA,required
Ukraine,UKR,required
United Arab Emirates (UAE),ARE,required
United Kingdom of Great Britain and Northern Ireland (UK),GBR,not required
United Republic of Tanzania,TZA,required
United States of America (USA),USA,required
Uruguay,URY,required
Uzbekistan,UZB,not required
Vanuatu,VUT,not required
Venezuela (Bolivarian Republic of),VEN,required
Viet Nam (Vietnam),VNM,required
Yemen,YEM,not required
Zambia,ZMB,not required
Zimbabwe,ZWE,not required